model,time,acc,loss,val_acc,val_loss
model-1720839340,1720839345.392,0.49,0.2506,0.5,0.2552
model-1720839340,1720839345.467,0.39,0.2728,0.56,0.2488
model-1720839340,1720839345.533,0.53,0.2497,0.53,0.2492
model-1720839340,1720839345.598,0.58,0.2459,0.53,0.2505
model-1720839340,1720839345.671,0.48,0.2541,0.53,0.2482
model-1720839340,1720839345.731,0.56,0.247,0.41,0.2571
model-1720839340,1720839345.815,0.46,0.2534,0.56,0.2487
model-1720839340,1720839345.879,0.52,0.2498,0.47,0.2517
model-1720839340,1720839345.95,0.47,0.2505,0.34,0.2519
model-1720839340,1720839346.026,0.48,0.2499,0.66,0.2418
model-1720839340,1720839346.091,0.42,0.2538,0.66,0.2457
model-1720839340,1720839346.163,0.53,0.2493,0.56,0.2493
model-1720839340,1720839346.227,0.53,0.2495,0.47,0.2503
model-1720839340,1720839346.29,0.58,0.2489,0.47,0.25
model-1720839340,1720839346.363,0.43,0.2506,0.34,0.2518
model-1720839340,1720839346.443,0.54,0.2492,0.44,0.2499
model-1720839340,1720839346.514,0.46,0.2503,0.59,0.2486
model-1720839340,1720839346.583,0.52,0.25,0.47,0.2494
model-1720839340,1720839346.642,0.63,0.2486,0.62,0.2489
model-1720839340,1720839346.703,0.46,0.2507,0.47,0.2503
model-1720839340,1720839346.776,0.49,0.2502,0.44,0.2527
model-1720839340,1720839346.86,0.49,0.2497,0.38,0.2565
model-1720839340,1720839347.219,0.5,0.2495,0.47,0.2501
model-1720839340,1720839347.354,0.5,0.2503,0.44,0.2506
model-1720839340,1720839347.557,0.46,0.2508,0.5,0.251
model-1720839340,1720839347.667,0.56,0.2495,0.62,0.2474
model-1720839340,1720839347.762,0.52,0.2494,0.66,0.2487
model-1720839340,1720839347.882,0.49,0.2503,0.69,0.2469
model-1720839340,1720839347.973,0.55,0.2489,0.59,0.2434
model-1720839340,1720839348.056,0.45,0.2515,0.38,0.2545
model-1720839340,1720839348.148,0.55,0.2484,0.5,0.2483
model-1720839340,1720839348.239,0.56,0.2471,0.5,0.2499
model-1720839340,1720839348.316,0.54,0.2469,0.66,0.241
